yearID,teamID,avg_age,lgID,franchID,G,R,W,L,runs_per_game,win_pct
2005,PHI,30.579022759828106,NL,PHI,162,807,88,74,4.981481481481482,0.5432098765432098
2005,PIT,27.738848337388482,NL,PIT,162,680,67,95,4.197530864197531,0.41358024691358025
2005,SDN,31.45926762381029,NL,SDP,162,684,82,80,4.222222222222222,0.5061728395061729
2005,SEA,29.162925057774842,AL,SEA,162,699,69,93,4.314814814814815,0.42592592592592593
2005,SFN,32.87403942532576,NL,SFG,162,649,75,87,4.006172839506172,0.46296296296296297
2005,SLN,31.186740152374778,NL,STL,162,805,100,62,4.969135802469136,0.6172839506172839
2005,TBA,28.030736357659435,AL,TBD,162,750,67,95,4.62962962962963,0.41358024691358025
2005,TEX,28.411222381179464,AL,TEX,162,865,79,83,5.339506172839506,0.4876543209876543
2005,TOR,28.50032195750161,AL,TOR,162,775,80,82,4.783950617283951,0.49382716049382713
2005,WAS,29.905470170219797,NL,WSN,162,639,81,81,3.9444444444444446,0.5
2006,ARI,30.23624182485245,NL,ARI,162,773,76,86,4.771604938271605,0.4691358024691358
2006,ATL,27.62207896857373,NL,ATL,162,849,79,83,5.2407407407407405,0.4876543209876543
2006,BAL,30.937883188125202,AL,BAL,162,768,70,92,4.7407407407407405,0.43209876543209874
2006,BOS,30.893653516295025,AL,BOS,162,820,86,76,5.061728395061729,0.5308641975308642
2006,CHA,30.199075549888427,AL,CHW,162,868,90,72,5.3580246913580245,0.5555555555555556
2006,CHN,29.108050148465853,NL,CHC,162,716,66,96,4.419753086419753,0.4074074074074074
2006,CIN,29.874076453581754,NL,CIN,162,749,80,82,4.6234567901234565,0.49382716049382713
2006,CLE,28.113520408163264,AL,CLE,162,870,78,84,5.37037037037037,0.48148148148148145
2006,COL,28.165542710340397,NL,COL,162,813,76,86,5.018518518518518,0.4691358024691358
2006,DET,29.784332845766293,AL,DET,162,822,95,67,5.074074074074074,0.5864197530864198
2006,FLO,25.788552739165986,NL,FLA,162,758,78,84,4.679012345679013,0.48148148148148145
2006,HOU,31.07421686746988,NL,HOU,162,735,82,80,4.537037037037037,0.5061728395061729
2006,KCA,30.29765182186235,AL,KCR,162,757,62,100,4.672839506172839,0.38271604938271603
2006,LAA,29.275767366720515,AL,ANA,162,766,89,73,4.728395061728395,0.5493827160493827
2006,LAN,30.354614412136534,NL,LAD,162,820,88,74,5.061728395061729,0.5432098765432098
2006,MIL,29.295716639209225,NL,MIL,162,730,75,87,4.506172839506172,0.46296296296296297
2006,MIN,28.748265289656285,AL,MIN,162,801,96,66,4.944444444444445,0.5925925925925926
2006,NYA,31.491667964491512,AL,NYY,162,930,97,65,5.7407407407407405,0.5987654320987654
2006,NYN,29.822535211267606,NL,NYM,162,834,97,65,5.148148148148148,0.5987654320987654
2006,OAK,30.29571611253197,AL,OAK,162,771,93,69,4.7592592592592595,0.5740740740740741
2006,PHI,29.80579665220087,NL,PHI,162,865,85,77,5.339506172839506,0.5246913580246914
2006,PIT,28.324614134849714,NL,PIT,162,691,67,95,4.265432098765432,0.41358024691358025
2006,SDN,31.092982174401797,NL,SDP,162,731,88,74,4.512345679012346,0.5432098765432098
2006,SEA,29.218623481781375,AL,SEA,162,756,78,84,4.666666666666667,0.48148148148148145
2006,SFN,34.49356010568032,NL,SFG,161,746,76,85,4.633540372670807,0.4720496894409938
2006,SLN,29.983425414364643,NL,STL,161,781,83,78,4.850931677018633,0.515527950310559
2006,TBA,27.875437135720233,AL,TBD,162,689,61,101,4.253086419753086,0.3765432098765432
2006,TEX,28.85241445474896,AL,TEX,162,835,80,82,5.154320987654321,0.49382716049382713
2006,TOR,29.138313253012047,AL,TOR,162,809,87,75,4.993827160493828,0.5370370370370371
2006,WAS,28.944578701466085,NL,WSN,162,746,71,91,4.604938271604938,0.4382716049382716
